Channel_name,Subscribers,Views,Total_videos,playlist_id
Alex The Analyst,1090000,51617357,368,UU7cs8q-gJRlGwj4A8OmCmXg
Absent Data,60800,4766915,225,UUSQvwTdavISOusGhJW6H0Vg
Krish Naik,1220000,119597218,2032,UUNU_lfiiWBdtULKOw6X0Dig
techTFQ,374000,21663945,140,UUnz-ZXXER4jOvuED5trXfEA
Corey Schafer,1450000,103165127,245,UUCezIgC97PvUuR4_gbFUs5g
